district,year,month,ndvi,ndvi_baseline,anomaly_pct
Ramanathapuram,2022,10,0.2738,0.194125,41.04
Salem,2022,10,0.6425,0.5622,14.28
Thanjavur,2022,10,0.589,0.4784,23.12
Sivaganga,2022,10,0.5149,0.340225,51.34
Tiruchchirappalli,2022,10,0.4762,0.513425,-7.25
Tirunelveli Kattabo,2022,10,0.3596,0.271675,32.36
Ariyalur,2022,10,0.5657,0.50435,12.16
Cuddalore,2022,10,0.5219,0.472475,10.46
Karur,2022,10,0.3575,0.411625,-13.15
Madurai,2022,10,0.5325,0.40295,32.15
Nagapattinam,2022,10,0.5454,0.435525,25.23
Namakkal,2022,10,0.5548,0.51305,8.14
Perambalur,2022,10,0.6505,0.58555,11.09
Thiruvallur,2022,10,0.6119,0.510325,19.9
Tiruvannamalai,2022,10,0.6307,0.5848,7.85
Vellore,2022,10,0.6522,0.576975,13.04
Villupuram,2022,10,0.582,0.55185,5.46
Thoothukudi,2023,1,0.484,0.4731499999999999,2.29
Coimbatore,2023,1,0.516,0.472775,9.14
Dharmapuri,2023,1,0.5163,0.49445,4.42
Virudhunagar,2023,1,0.6062,0.503275,20.45
Kanniyakumari,2023,1,0.6987,0.663225,5.35
Nilgiris,2023,1,0.6483,0.63945,1.38
Erode,2023,1,0.5035,0.51135,-1.54
Pudukkottai,2023,1,0.4656,0.4848,-3.96
Dindigul,2023,1,0.5634,0.52995,6.31
Ramanathapuram,2023,1,0.4487,0.427625,4.93
Salem,2023,1,0.5145,0.506475,1.58
Thanjavur,2023,1,0.5209,0.5016,3.85
Sivaganga,2023,1,0.4276,0.444175,-3.73
Tiruchchirappalli,2023,1,0.5098,0.478525,6.54
Tirunelveli Kattabo,2023,1,0.4914,0.4692,4.73
Ariyalur,2023,1,0.5129,0.477925,7.32
Chennai,2023,1,0.2142,0.17355,23.42
Cuddalore,2023,1,0.4712,0.461975,2.0
Kancheepuram,2023,1,0.3764,0.395775,-4.9
Karur,2023,1,0.4983,0.4509,10.51
Madurai,2023,1,0.5749,0.50405,14.06
Nagapattinam,2023,1,0.4709,0.4681,0.6
Namakkal,2023,1,0.4889,0.479375,1.99
Perambalur,2023,1,0.4662,0.450625,3.46
Theni,2023,1,0.6318,0.5098750000000001,23.91
Thiruvallur,2023,1,0.452,0.4298,5.17
Tiruvannamalai,2023,1,0.5005,0.48275,3.68
Vellore,2023,1,0.5605,0.5164,8.54
Villupuram,2023,1,0.4765,0.481225,-0.98
Thoothukudi,2023,4,0.232,0.25285,-8.25
Coimbatore,2023,4,0.4021,0.399275,0.71
Dharmapuri,2023,4,0.4179,0.351025,19.05
Virudhunagar,2023,4,0.3095,0.2985,3.69
Kanniyakumari,2023,4,0.5282,0.369025,43.13
Nilgiris,2023,4,0.6098,0.5813,4.9
Erode,2023,4,0.3991,0.375875,6.18
Pudukkottai,2023,4,0.2952,0.2958,-0.2
Dindigul,2023,4,0.4229,0.408525,3.52
Ramanathapuram,2023,4,0.2215,0.2497,-11.29
Salem,2023,4,0.4266,0.37695,13.17
Thanjavur,2023,4,0.3852,0.335225,14.91
Sivaganga,2023,4,0.3027,0.303225,-0.17
Tiruchchirappalli,2023,4,0.3507,0.3382,3.7
Tirunelveli Kattabo,2023,4,0.3766,0.3329999999999999,13.09
Ariyalur,2023,4,0.3602,0.3109,15.86
Chennai,2023,4,0.2661,0.240825,10.5
Cuddalore,2023,4,0.4087,0.32045,27.54
Kancheepuram,2023,4,0.3681,0.294075,25.17
Karur,2023,4,0.2885,0.280175,2.97
Madurai,2023,4,0.3815,0.346775,10.01
Nagapattinam,2023,4,0.3404,0.290275,17.27
Namakkal,2023,4,0.3817,0.3531499999999999,8.08
Perambalur,2023,4,0.3511,0.32915,6.67
Theni,2023,4,0.4548,0.470725,-3.38
Thiruvallur,2023,4,0.4004,0.33675,18.9
Tiruvannamalai,2023,4,0.4148,0.3495,18.68
Vellore,2023,4,0.4106,0.34125,20.32
Villupuram,2023,4,0.4066,0.343625,18.33
Thoothukudi,2023,7,0.188,0.19155,-1.85
Virudhunagar,2023,7,0.2367,0.2682,-11.74
Kanniyakumari,2023,7,0.4215,0.4614749999999999,-8.66
Pudukkottai,2023,7,0.4019,0.37705,6.59
Ramanathapuram,2023,7,0.2547,0.2653999999999999,-4.03
Thanjavur,2023,7,0.2863,0.4125,-30.59
Sivaganga,2023,7,0.3775,0.343125,10.02
Tiruchchirappalli,2023,7,0.2863,0.342275,-16.35
Tirunelveli Kattabo,2023,7,0.1734,0.243525,-28.8
Ariyalur,2023,7,0.324,0.362475,-10.61
Chennai,2023,7,0.294,0.1924,52.81
Cuddalore,2023,7,0.3764,0.39685,-5.15
Kancheepuram,2023,7,0.4858,0.506175,-4.03
Madurai,2023,7,0.2594,0.368925,-29.69
Perambalur,2023,7,0.2953,0.2519,17.23
Thiruvallur,2023,7,0.3921,0.475725,-17.58
Villupuram,2023,7,0.4381,0.4544249999999999,-3.59
Thoothukudi,2023,10,0.2039,0.214625,-5.0
Coimbatore,2023,10,0.4526,0.237875,90.27
Dharmapuri,2023,10,0.5764,0.46565,23.78
Virudhunagar,2023,10,0.3869,0.194575,98.84
Nilgiris,2023,10,0.6245,0.5840000000000001,6.93
Erode,2023,10,0.4658,0.515675,-9.67
Pudukkottai,2023,10,0.4191,0.409375,2.38
Dindigul,2023,10,0.5423,0.534525,1.45
Ramanathapuram,2023,10,0.2404,0.194125,23.84
Salem,2023,10,0.5536,0.5622,-1.53
Thanjavur,2023,10,0.4878,0.4784,1.96
Sivaganga,2023,10,0.3983,0.340225,17.07
Tiruchchirappalli,2023,10,0.5329,0.513425,3.79
Tirunelveli Kattabo,2023,10,0.3049,0.271675,12.23
Ariyalur,2023,10,0.4696,0.50435,-6.89
Chennai,2023,10,0.1822,0.181525,0.37
Cuddalore,2023,10,0.4565,0.472475,-3.38
Kancheepuram,2023,10,0.5098,0.383875,32.8
Karur,2023,10,0.3854,0.411625,-6.37
Madurai,2023,10,0.5202,0.40295,29.1
Nagapattinam,2023,10,0.4457,0.435525,2.34
Namakkal,2023,10,0.505,0.51305,-1.57
Perambalur,2023,10,0.5556,0.58555,-5.11
Theni,2023,10,0.5467,0.288825,89.28
Thiruvallur,2023,10,0.5086,0.510325,-0.34
Tiruvannamalai,2023,10,0.6081,0.5848,3.98
Vellore,2023,10,0.6077,0.576975,5.33
Villupuram,2023,10,0.552,0.55185,0.03
