district,year,month,ndvi
Thanjavur,2023,4,0.3852
Sivaganga,2023,4,0.3027
Tiruchchirappalli,2023,4,0.3507
Tirunelveli Kattabo,2023,4,0.3766
Ariyalur,2023,4,0.3602
Chennai,2023,4,0.2661
Cuddalore,2023,4,0.4087
Kancheepuram,2023,4,0.3681
Karur,2023,4,0.2885
Madurai,2023,4,0.3815
Nagapattinam,2023,4,0.3404
Namakkal,2023,4,0.3817
Perambalur,2023,4,0.3511
Theni,2023,4,0.4548
Thiruvallur,2023,4,0.4004
Tiruvannamalai,2023,4,0.4148
Vellore,2023,4,0.4106
Villupuram,2023,4,0.4066
Thoothukudi,2023,7,0.188
Coimbatore,2023,7,0.0
Dharmapuri,2023,7,0.0
Virudhunagar,2023,7,0.2367
Kanniyakumari,2023,7,0.4215
Nilgiris,2023,7,0.0
Erode,2023,7,0.0
Pudukkottai,2023,7,0.4019
Dindigul,2023,7,0.0
Ramanathapuram,2023,7,0.2547
Salem,2023,7,0.0
Thanjavur,2023,7,0.2863
Sivaganga,2023,7,0.3775
Tiruchchirappalli,2023,7,0.2863
Tirunelveli Kattabo,2023,7,0.1734
Ariyalur,2023,7,0.324
Chennai,2023,7,0.294
Cuddalore,2023,7,0.3764
Kancheepuram,2023,7,0.4858
Karur,2023,7,0.0
Madurai,2023,7,0.2594
Nagapattinam,2023,7,0.0
Namakkal,2023,7,0.0
Perambalur,2023,7,0.2953
Theni,2023,7,0.0
Thiruvallur,2023,7,0.3921
Tiruvannamalai,2023,7,0.0
Vellore,2023,7,0.0
Villupuram,2023,7,0.4381
Thoothukudi,2023,10,0.2039
Coimbatore,2023,10,0.4526
Dharmapuri,2023,10,0.5764
Virudhunagar,2023,10,0.3869
Kanniyakumari,2023,10,0.0
Nilgiris,2023,10,0.6245
Erode,2023,10,0.4658
Pudukkottai,2023,10,0.4191
Dindigul,2023,10,0.5423
Ramanathapuram,2023,10,0.2404
Salem,2023,10,0.5536
Thanjavur,2023,10,0.4878
Sivaganga,2023,10,0.3983
Tiruchchirappalli,2023,10,0.5329
Tirunelveli Kattabo,2023,10,0.3049
Ariyalur,2023,10,0.4696
Chennai,2023,10,0.1822
Cuddalore,2023,10,0.4565
Kancheepuram,2023,10,0.5098
Karur,2023,10,0.3854
Madurai,2023,10,0.5202
Nagapattinam,2023,10,0.4457
Namakkal,2023,10,0.505
Perambalur,2023,10,0.5556
Theni,2023,10,0.5467
Thiruvallur,2023,10,0.5086
Tiruvannamalai,2023,10,0.6081
Vellore,2023,10,0.6077
Villupuram,2023,10,0.552
